Fecha, Hora, Temp. Ambiental (DHT11), Humedad (DHT11), CO2 PPM (MQ135),  Temp. Corporal (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
04/12/2024, 00:24:28, 16.60, 69.00, 24070, 21.83, 0.00, 0.00
04/12/2024, 00:24:34, 16.60, 70.00, 4306, 25.11, 0.00, 0.00
04/12/2024, 00:24:40, 16.60, 70.00, 1031, 18.95, 0.00, 0.00
04/12/2024, 00:24:47, 16.60, 70.00, 473, 18.81, 0.00, 0.00
04/12/2024, 00:24:53, 16.60, 70.00, 308, 18.81, 0.00, 0.00
04/12/2024, 00:24:59, 16.60, 70.00, 239, 18.71, 0.00, 0.00
04/12/2024, 00:25:06, 16.60, 70.00, 199, 18.69, 0.00, 0.00
04/12/2024, 00:25:12, 16.60, 70.00, 173, 18.63, 0.00, 0.00
04/12/2024, 00:25:18, 16.60, 70.00, 157, 18.63, 0.00, 0.00
04/12/2024, 00:25:25, 16.60, 70.00, 146, 18.63, 0.00, 0.00
04/12/2024, 00:25:31, 16.60, 70.00, 135, 18.63, 0.00, 0.00
04/12/2024, 00:25:37, 16.60, 70.00, 129, 18.59, 0.00, 0.00
04/12/2024, 00:25:44, 16.60, 70.00, 122, 18.65, 0.00, 0.00
04/12/2024, 00:25:50, 16.60, 70.00, 119, 18.59, 0.00, 0.00
04/12/2024, 00:25:57, 16.60, 70.00, 113, 18.53, 0.00, 0.00
04/12/2024, 00:26:03, 16.60, 70.00, 110, 18.55, 0.00, 0.00
04/12/2024, 00:26:09, 16.60, 70.00, 107, 18.63, 0.00, 0.00
04/12/2024, 00:26:16, 16.60, 70.00, 104, 18.59, 0.00, 0.00
04/12/2024, 00:26:22, 16.60, 70.00, 104, 18.63, 0.00, 0.00
04/12/2024, 00:26:28, 16.60, 70.00, 101, 18.63, 0.00, 0.00
04/12/2024, 00:26:35, 16.60, 70.00, 98, 18.55, 0.00, 0.00
04/12/2024, 00:26:41, 16.60, 70.00, 98, 18.63, 0.00, 0.00
04/12/2024, 00:26:47, 16.60, 70.00, 96, 18.69, 0.00, 0.00
04/12/2024, 00:26:54, 16.60, 70.00, 96, 18.59, 0.00, 0.00
04/12/2024, 00:27:00, 16.60, 70.00, 96, 18.69, 0.00, 0.00
04/12/2024, 00:27:06, 16.60, 70.00, 96, 18.65, 0.00, 0.00
04/12/2024, 00:27:13, 16.60, 70.00, 93, 18.63, 0.00, 0.00
04/12/2024, 00:27:19, 16.60, 70.00, 93, 18.71, 0.00, 0.00
04/12/2024, 00:27:25, 16.60, 70.00, 93, 18.63, 0.00, 0.00
04/12/2024, 00:27:32, 16.60, 70.00, 90, 18.65, 0.00, 0.00
04/12/2024, 00:27:38, 16.60, 70.00, 90, 18.71, 0.00, 0.00
04/12/2024, 00:27:44, 16.60, 70.00, 90, 18.69, 0.00, 0.00
04/12/2024, 00:27:51, 16.60, 70.00, 90, 18.71, 0.00, 0.00
04/12/2024, 00:27:57, 16.60, 70.00, 90, 18.75, 0.00, 0.00
04/12/2024, 00:28:03, 16.60, 70.00, 88, 18.79, 0.00, 0.00
