Timestamp, Temperatura ambiental (DHT11), Humedad (DHT11), PPM (MQ135), Temp. Objeto (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
2024-11-23 22:30:00,20.44,52.16,0.0,19.26,0.0,0.0
2024-11-23 23:00:00,21.85,48.78,0.0,19.4,0.0,0.0
2024-11-23 23:30:00,22.2,47.6,0.0,19.6,0.0,0.0
2024-11-24 00:00:00,22.2,47.86,0.0,19.65,0.0,0.0
2024-11-24 00:30:00,22.15,48.0,0.0,19.62,0.0,0.0
2024-11-24 01:00:00,21.37,47.96,0.0,19.18,0.0,0.0
2024-11-24 01:30:00,20.93,48.22,0.0,18.69,0.0,0.0
2024-11-24 02:00:00,20.52,49.0,0.0,18.3,0.0,0.0
2024-11-24 02:30:00,20.2,49.6,0.0,17.98,0.0,0.0
2024-11-24 03:00:00,20.02,50.0,0.0,17.69,0.0,0.0
2024-11-24 03:30:00,19.77,50.0,0.0,17.34,0.0,0.0
2024-11-24 04:00:00,19.41,50.0,0.0,17.07,0.0,0.0
2024-11-24 04:30:00,19.13,50.0,0.0,16.83,0.0,0.0
2024-11-24 05:00:00,19.0,50.0,0.0,16.47,0.0,0.0
2024-11-24 05:30:00,19.0,50.0,0.0,16.24,0.0,0.0
